,User_name,Review title,Review Rating,Review date,Review_body,Movie_name,Movie_ID
11,mdshovongazi,worst making !,3,30 September 2021,"The story of the film was good but its not too good to watch because of its making.
                
                    1 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
12,theadicubers,Amazing!!,7,30 September 2021,"Th movie was great. The director could hold suspense in every point of the film. The acting of all the cast was fantastic especially Chanchal Chowdhury.
                
                    0 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
13,nayeefmobasheer,Not bad at all,7,2 October 2021,"Acting is most are very good
Story was well
But the making was very Frustrating🙁
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
14,kingpartho,Voice and Cinematography issue!!!,7,5 October 2021,"Short story but nicely done! It could have been better if the cinematography had done nicely. Besides there are voice issue at some point. Some words were put as overlay of original soundtrack. This is not a very big issue but very noticeable. Moreover, good work from Chorki!
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
15,mykabir,Worst cinematography with flawed story!,6,3 October 2021,"Why the camera always shaking? It felt like ameture cinematography. Also, why was the reason of such portrayal of Didarul?
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
16,smalifhasan-95706,A good story but cinematography is not good enough!!,9,6 October 2021,"The plot of story is interesting. Yet I think it can be more watchful if the storylines was little better.Besides,background music was also weak. Weakness was mostly came from the cinematography of this movie. It was the most weakest part of here.I hope, Amitav Reja will overcome it in upcoming works. Actors and actresses were acted well.Above all,you can watch it at once.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
17,adnannijhum,Another good work from Chorki,7,30 September 2021,"It was interesting to watch from start to the last. The actors and actresses have done a tremendous job.Though the story was predictable, the screenplay will keep you in the seat till the end. The dialogues could be better.The film is under 90 minutes. But after finishing it you will not feel that if it would a little bit lengthy, it would be better.It was a nice watching experience. Thanks to Chorki and thanks to the Munshgiri team.
                
                    3 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
18,sakhawathossain-64501,It's a masterpiece,1,1 October 2021,"It is one of the best film of Chanchal Chowdhury. Another masterpiece after Aynabaji and taqdeer.
                
                    0 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
19,iampc-00006,Good Watch,1,30 September 2021,"The acting of all the actors in this web film was very good. Specially, Chanchal Chowdhury's acting was great as always. I like this web flim. Although I expected thrilling like ""Aynabaji Movie"" but it was not in this web flim. Since this is a detective story, everyone who watches will have to pay close attention to understand the story. Also, if there was a little more twist towards the end of the story and if the screntime of the web flim is a little more, the web flim would look better. Finally I would like to say, thanks ""Chorki"" again for giving us good contents continuously. But I want the watch rest of the next part of ""Munshigiri"" web film.
                
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
20,munsishihab,Amazing Thriller,1,2 October 2021,It's very exacting & charmful web series... Canchal is so good actor.,Munshigiri,tt15245506
21,sajibkuph,Masterpiece,1,7 October 2021,"Masterpiece!. In many movies, you can predict the mystery way before the ending. But in this movie mystery is revealed at the last moment of the movie. Nicely Scripted.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
22,djking-94290,A good web film,1,1 October 2021,"This is not like Aynabaji but a well made film. You will enjoy this film. Must watch!
                
                    0 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
23,lobafharia,Good storyline,7,8 October 2021,"The hero of the content is its well thought storyineChanchal Chowdhury wasn't at his best and Purnima was average.Am I the only one who missed the explanation regarding the awkward spelling mistake (it was written in bold font in the sticky note on the white board while Chanchal Chowdhury was at the end of solving the case - ""Motif"")? Was it intentional? Some other minor things like these could be easily taken care of better as it is Amitabh Reza production.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
24,faltuausmail,Excellent. Only -1 for unnecessary alcohol scene.,9,22 August 2021,"Our movie industry main problem is sync one scene to another, story and overacting but i must proudly say its changing and improving day by day. This movie was a brilliant execution, good story outline, wonderful cinematography, soothing music and song, most important all the actors and actresses done their work wonderful. Very fresh faces also they know acting. I never get bored or I didn't pretend the story until the ending. Which hold me to sit until the ending. It's a 10/10 movie only 1 I'm cutting because of the unnecessary alcohol scene. Director Aryan is a very good tv drama director and he knows his work where it's Tv or a Movie. Waiting for more..👍
                
                    7 out of 11 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
25,imlimonh,After watch the movie I was compelled to write a review!,1,24 August 2021,"This is the first time I am writing a review on a Bengali movie (Webfilm). I saw a quality movie that really deserves praise. What a great direction, screenplay, filming, acting, color tone, music arrangement, editing is amazing in one word. Best wishes to producer Mizanur Rahman Aryan and his shooting unit.
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
26,senanindya,Good Attempt.,3,23 August 2021,"This was good attempt from the director. The cinematography is okay okay, won't consider good cause I didn't notice any unique angle. There is a lot of room for improvement. We can expect better contents in near future. I saw that sign.But please don't overrate it and make other directors follow the same path of making not so very good content to achieve easy success by touching your soft hearts. Watch Unoloukik and appreciate that.
                
                    10 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
27,monsurahmed-75789,Owwsum,1,28 August 2021,"Real story gets the point....salute to the director and the team...never thought bangladeshi movie will be like that kind!!!thank you..your team give us beleive on bangla movies.
                
                    1 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
28,ShuvoIMDb,Chol Bondhu Chol...!,8,20 August 2021,"It's a feeling that you can't express. This is a story of four friends who are soon completing their university life. Four different people with ups and downs of their life. They are planning for a tour for the last time, ops, sorry, for the first time. Throughout the whole movie, it is just a pure show of friendship. You can also relate yourself to any of these characters. An amazing story with a beautiful screenplay and a great combination of cinematography and music.But one thing I should tell the whole industry. Please try to promote our own culture. I can see the cultural diversion last couple of years by the renowned directors and actors. This is not our culture, this should not be the message to the young generation. Please be aware of that.Anyway, great work by the director, actors, and the whole team. It's a good Bangladeshi film that I can feel. Especially technical team deserve credit for visualizing a dazzling show for one and half an hour.",Networker Baire,tt15234108
29,sukdab,Thrilled,9,24 August 2021,"Ato darun story, ato pure kahini playing sob miliye osasaron...ar ceye vlo r hote pare na. Fst ar part ta purai emotional.
                
                    2 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
30,raiyan_hasan,Highly overrated,6,12 October 2021,"It has been made targeting the mass audience. The story begins with a good vibe but there is no solid plot at the end.It cannot be considered as a masterpiece or a quality content.
                
                    0 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
31,fahimmejba,Masterpiece,1,31 August 2021,"Never felt this much better for a Bengali film in a while. Awesome screenplayand cinematography. The cast portrayed their best. We want more film like this in Bangladesh.
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
32,azijmollik,Outstanding work.,8,21 August 2021,"The concept was simple but the story telling was really nice. The color, music,cast everything was well. It didn't make me bored. I loved it.Well done Mr ariyan.👏
                
                    1 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
33,akramul,Not at all bad!,6,19 August 2021,"Decent effort. Liked acting, background score. Didn't like the forced jokes and average storyline.
                
                    10 out of 23 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
34,abidtonmoy,Masterpiece,1,9 October 2021,"I have been waiting for a long time to see such a Bangladeshi movie. It was the best movie I've ever seen . I really wanna thanks to sir aryan. You are a next level director.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
35,ratulehtesham,Supperb,1,19 August 2021,"Excellent movie! No overacting, outstanding cinematography, perfect casting and good music. So in total masterpiece! Much recommended.Salute to MR Aryan and his team.
                
                    25 out of 33 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
36,ja-27863,Must watch! Highly recommanded for you,9,24 August 2021,"The story of this film is about four friends; who have just finished their university life and in the pursuit of life, everyone is stepping on different paths. They decided to go on a tour for the very first time together. During the tour, one of their female friends joins them. In night,during the night party she reveal something which fully changed the film. What she told and what happened next, if you want to know just watch the movie.",Networker Baire,tt15234108
37,ali-mahdi,Lots of potential but wasted nonetheless,6,9 October 2021,Very disjointed storytelling and lots of unnecessary melodrama. Photography and cinematography was commendable but it lacks where every Bangla telefilm/film produced these days lack- substantial plot and/or build-up.Simple things make no sense like how are they calling people to talk about their sap stories if indeed they are out of network coverage?What was the ultimate point of getting out of coverage? Was it the journey that they meant to highlight or the destination? Or did they just bank on a shock ending?I bet with a little bit of effort they could have set the characters up nicely so that the end really matters instead of pulling away to reveal side stories that hardly mean anything.Decent effort. Not really worth the time though.,Networker Baire,tt15234108
38,idole46,Mesmerising,1,20 August 2021,"I think it is impossible to make 0.00000001% better than this.Just wow 👍
                
                    15 out of 22 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
39,forhadfkbpmail,"It was Really Awesome Acting,Story",1,22 August 2021,"It was Really Awesome Acting,Story, Like Cinematic types, Thanks for gibe us that types Web-series.",Networker Baire,tt15234108
40,shreyabasak,Osadharon,1,22 November 2021,"Unexpected osadharon.....IT IS SOMETHING... Outstanding performance with a brilliant story....chokher jol jhorlo ...kosto pelam ending a but .. it is LIFE.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
41,jacksonrohit,Such a great movie.,1,24 August 2021,"Such a great movie ! This movie will make you laugh ...thrill..cry ...nostalgic ...emotional. In total everything
Great work by Mizanur Rahman Aryan ✌
It is something special for friends ..amigos .....those who love their friends must watch and enjoy the movie T.
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
42,mahmudurrezarosan,This movie is really very good. Alike reality!!,1,9 September 2021,"This movie is really very good. I can found reality in this movie. But reality is more cruel then movie. I think any movie cannot show reality more then this movie.
                
                    2 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
43,nayeefmobasheer,Extreme colour grading and good Cinema photography.,1,20 August 2021,"The actors are acting so good but i think the story is more better.
                
                    13 out of 18 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
44,huloh,Average,5,27 August 2021,"Overhyped movie, actually it's not more like a telefilm or an extended drama. Last part was touchy, friends were cool enough to entertain, but at some point It's illogical. A vegetable seller's son enjoying party is a bit unnatural, the so called true friends conversation like "" khaia dis na"" is a bit weired. I have never seen true friends, 1 girl and 4 boys drinking bear and doing nonsense in bengali community. Even if It's true,it can't be tagged as a true one.Camera work and acting was pretty good. Flow was natural no doubt. Just the sexual objectification was creepy. Overall,it a good time pass with average storyline but can't win oscar or get 8+ rating unfortunately.
                
                    5 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
45,fbn-20774,"A clean, extraordinary work",1,21 August 2021,"The expectation of ""Network er Baire"" was skyrocketing and I personally got more than that. Mizanur Rahman Aryan has arranged the relation of friendship in a wonderful way. I enjoyed the chemistry of four friends a lot. Their chemistry has also become more enjoyable due to their extraordinary performance. Besides, those who have played the role of lovers have also done well, especially Nazifa Tushi. I have laughed throughout the whole movie but cried towards the end. In the end I will say this, after a long time I saw a clean, extraordinary work and Mizanur Rahman Aryan is successful in his first movie.
                
                    4 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
46,ankonmajumder-40688,Bangladeshi masterpiece,1,28 August 2021,"Pure mind fresh movie this is ,This movie is really made in Bangladesh, I feel very happy about it, to tell a wonderful real story.Specially thanks Mizanur Rahman and Redhon Rony.",Networker Baire,tt15234108
47,ridudec,As awful as it gets!,1,8 September 2021,"One of the most awful cinemas I've come across. Horrible script, bad acting, horrendous story and absolutely terrifying portrayal of friendship.
                
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
48,saifulislambony,Excited movie.,1,28 August 2021,"This movie is muster pis.this movie is one of tha best movie.
                
                    1 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
49,ahmednazir-89692,worth watching,7,22 August 2021,"Nostalgic,
simple.Recommended to watch.Thanks chorki and MR Aryan and his team.
                
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
50,alibnisho,Excellent Movie,1,19 August 2021,"Really this movie is outstanding, thanks mizanur rahman aryan bhai.....",Networker Baire,tt15234108
51,yasirarafat-98018,Great work,8,25 August 2021,"Simple story but good screenplay and cinematography.
                
                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
52,tanjimrashid06,Outstanding,1,21 August 2021,"Outstanding!! A masterpiece from Bangladesh. The story was so engaging. Outstanding performance done by all actors & actress..
Especially thanks to OTT paltfrom Charki & Aryan for this beautiful work.<3<3.
                
                    3 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
53,ahmedakash-90935,just top class,1,21 August 2021,"This story based on real story, and truly the maker made this to the upper lavel. So much dedication was there. I think it should be dubbed in English for the Foreign viewer.
                
                    3 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
54,srabondeb,Fully Nostalgic.,9,25 August 2021,"Reality is found in this film. What an impeccable scenery!
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
55,meherajhasann,"Nothing unique,considered as Bangladeshi product it's watchable.",4,22 August 2021,"This content was not bad,but in 2021 it is not good at all.
                
                    9 out of 18 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
56,gitu-65185,An amazing Web-film,9,22 August 2021,"Truly an amazing movie. It was not very long. But I can assure you that you are going to enjoy every bit of it. The director, producer, cinematographer everyone has done a super job. A must-watch. You are gonna love the scenery, the drone shots are amazing. The cinematography was spot on. You have to fall in love with the beauty of cox's Bazar and saint martin. Hats off to Mr. Aziz. He surely nailed it.
                
                    2 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
57,ibnulkayes,Masterpiece,9,2 September 2021,"A clear master piece. Great thanks to the full crew of this film for presenting a masterpiece like this, a gem it is for banglafilm industry. One of the most heart breaking ending u will ever watch 🙂💔",Networker Baire,tt15234108
58,musicall-16187,Decent Film,1,25 August 2021,"After a long day, this is a very good film by any BD filmmaker. Hope you guys will watch this. Must recommend.
                
                    3 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
59,tahrimakazi,Friendship,1,28 August 2021,"I loved the bond between the 4 boys and their individual story a lot 💜
                
                    1 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
60,muhiuddinma,Amazing,1,21 August 2021,"Totally different from any other works in Bangladesh
Really Claimant of praise.In the end it gives a very crucial message.I hope everyone will like it.
                
                    3 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
61,istiakshuvoit,Change of wind,1,21 August 2021,"After Monpura (2009) this is one of the best and complete movie produced by any Bengali producer. It would be a superhit like ""Bangalore Days"", ""Charlie"", ""Ostad hotel"" etc if it was released in India. I think OTT platform will bring the golden days of our film industry.Excellent movie. Hats off Mr. Aryan and his team.
                
                    3 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
62,arko-46015,Best !,1,23 August 2021,"The best Bengoli movie I've watched in my life <3.
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
63,kamrulislamsajib,Networker Baire,9,23 August 2021,"One of the best Movie I have seen ever in Bangladesh.
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
64,auyomoyiurmisha,Networker Baire,9,22 August 2021,"Marvellous! Just awesome! One of the best movie of 2021.
                
                    4 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
65,hrhasan-67191,Best movie,1,29 August 2021,"This is the best bengali movie i watch ever in my life.
                
                    1 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
66,grtradersctg,Heart touching 💖,1,22 August 2021,What a wonderful story & it's really heart touching 💖,Networker Baire,tt15234108
67,fciakib,Superb,1,25 August 2021,"Excellent movie! No overacting, outstanding cinematography, perfect casting and good music. So in total masterpiece! Much recommended.
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
68,alonshouaib,Mind blowing,1,24 August 2021,I'm a big fan of Aryan Sir. It was a wonderful job.,Networker Baire,tt15234108
69,jeedchakraborty,Misleading,1,23 August 2021,"This film is so amazing. But, a youtuber released this film on YouTube which is illegal... Plz stop this Nonsense & see legally.
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
70,imamshuvo,"Brilliant, absolutely brilliant",1,21 August 2021,"Best luck chorki for upcoming all series and web film. It was really nice .
                
                    4 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
71,tasrifulhaquesalim,"A cheap, third class and Balmarka movie",1,25 August 2021,"Even with a cheap, third-class and Balmarca movie, it's possible to get this level of hype, I wouldn't have understood if I hadn't seen the movie off the network, believe me !!Excluding everything, I did not see any protest against the cheap form of girls that has been highlighted here !! None of you, I repeat, did anyone notice this?After flirting for two minutes, a girl goes inside the bus, her girlfriend says at the party, ""Don't eat me"", and after giving a little consolation, one friend's girlfriend falls asleep with another friend, I mean, how come? Girls are so cheap? Do you think so? There are so many female characters in this story, what message did you want to give to everyone here? When you get a boy, you fall asleep? No self-esteem?Said at the beginning, will tell the story of friendship. And at the end, another friend fed his friend's girlfriend. Going to the end of the movie, the hero was made again. I'm not really sure, what message did the director actually want to give through this? Or did you want to give a message at all?Inspired by the true story of Ahsan Ullah University's six boys who have been joking, I think, families should take refuge in the law by gathering evidence.This is not a friendship story. This is the story of filth. Sex is not a bad thing in art or literature. Masood Rana also has extreme sex. Butt there is no immorality, no deception. Sex comes as much as needed.And what has been done outside of the network is that sex has not been inserted in the need of the story, but sex has been inserted by force. The director has cheated in the name of telling friendship stories. And throughout the story, he portrays women in a terribly cheap way.Of course those who haven't seen it yet, don't need to see this garbage.If you want to see a St. Martin tour and a movie about friendship, visit Cinnamon Island. I don't see the need to be in such a bad mood to have such an awesome movie.And, if you want to see the story of friendship, a few people from DMC made a telefilm, ""The story is about friendship"". You can also see it. So wonderful, so beautifully told the story of friendship there!Bengalis like to make hype, it was known. Again the last hype that was taken with the series, Mahanagar, it was really a beautiful series, it was like taking a hype.The level of hype you raised about a garbage named out of the butt network was unbelievable.",Networker Baire,tt15234108
72,rehanrehman26,Network er baire,1,27 August 2021,"Awesome. Cast, acting, cinematography everything is mind-blowing. Placed Top 5 web-film I have seen.
                
                    1 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
73,tazim-54132,Networker Baire,1,22 August 2021,"It is something special for friends . Who love their friends must watch and enjoy the movie.
                
                    5 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
74,amsujon-73893,Finishing is too much poor.,1,23 August 2021,"BGM is good, visualization also good but finishing is too much poor.
                
                    8 out of 17 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
75,saadalif,Superbb Work,8,31 August 2021,"Excellent direction Mizanur Rahman Ariyan.No overacting, just simply acting.
                
                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
76,kubtesbd,Good story,1,19 August 2021,"Totally unique story based movie..i just love this..
                
                    15 out of 23 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
77,ahmedazizrmc,Nice colour and cinema photography,1,19 August 2021,"Friendship never die,whatever happens. And it was reflected such a way. FEEL GOOD type I guess.
                
                    7 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
78,aarifulislamrifat,Networker baire,9,20 August 2021,"After a long time, I saw a good quality movie. I watched the whole 90 minutes of the screen, a great combination of drama&tragedy. That was the perfect example of friendship. This is a must watchable movie!
                
                    9 out of 15 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Networker Baire,tt15234108
